repo_name,stars,owner,repo,sustainability_status,language,pushed_at,archived,api_status
refilc/naplo,1374,refilc,naplo,unknown,,,,not_found
jmpoep/vmprotect-3.5.1,1365,jmpoep,vmprotect-3.5.1,unknown,,,,error_451
JushBJJ/Mr.-Ranedeer-AI-Tutor,1356,JushBJJ,Mr.-Ranedeer-AI-Tutor,unknown,,2025-09-30T08:08:00Z,False,success
chokcoco/iCSS,1352,chokcoco,iCSS,unknown,JavaScript,2025-08-27T02:33:21Z,False,success
xtekky/gpt4free,1351,xtekky,gpt4free,unknown,Python,2025-12-26T03:25:38Z,False,success
threestudio-project/threestudio,1348,threestudio-project,threestudio,unknown,Jupyter Notebook,2024-12-16T06:11:15Z,False,success
ultralytics/ultralytics,1337,ultralytics,ultralytics,unknown,Python,2025-12-26T06:09:10Z,False,success
QwenLM/Qwen,1322,QwenLM,Qwen,unknown,Python,2025-11-26T13:48:46Z,False,success
zhayujie/chatgpt-on-wechat,1317,zhayujie,chatgpt-on-wechat,unknown,Python,2025-10-22T10:32:10Z,False,success
louislam/uptime-kuma,1315,louislam,uptime-kuma,unknown,JavaScript,2025-12-26T01:40:57Z,False,success
d2l-ai/d2l-zh,1314,d2l-ai,d2l-zh,unknown,Python,2024-07-30T09:32:19Z,False,success
sherlock-project/sherlock,1307,sherlock-project,sherlock,unknown,Python,2025-12-26T05:11:02Z,False,success
Avaiga/taipy,1305,Avaiga,taipy,unknown,Python,2025-12-22T20:41:26Z,False,success
MetaCubeX/mihomo,1302,MetaCubeX,mihomo,unknown,Python,2025-12-24T15:32:53Z,False,success
jasonjmcghee/rem,1282,jasonjmcghee,rem,unknown,Swift,2024-05-30T04:28:09Z,False,success
karpathy/nanoGPT,1278,karpathy,nanoGPT,unknown,Python,2025-11-12T19:52:34Z,False,success
MunGell/awesome-for-beginners,1278,MunGell,awesome-for-beginners,unknown,,2025-12-05T20:51:10Z,False,success
PlexPt/awesome-chatgpt-prompts-zh,1273,PlexPt,awesome-chatgpt-prompts-zh,unknown,,2025-01-01T08:34:33Z,False,success
chatchat-space/Langchain-Chatchat,1263,chatchat-space,Langchain-Chatchat,unknown,Python,2025-11-10T09:27:42Z,False,success
JoeanAmier/XHS-Downloader,1251,JoeanAmier,XHS-Downloader,unknown,Python,2025-12-26T03:01:50Z,False,success
udecode/plate,1251,udecode,plate,unknown,TypeScript,2025-12-23T06:53:39Z,False,success
krishnaik06/Roadmap-To-Learn-Generative-AI-In-2024,1251,krishnaik06,Roadmap-To-Learn-Generative-AI-In-2024,unknown,,2025-08-19T06:40:15Z,False,success
Vaibhavs10/insanely-fast-whisper,1239,Vaibhavs10,insanely-fast-whisper,unknown,Jupyter Notebook,2025-10-25T09:50:57Z,False,success
ripienaar/free-for-dev,1236,ripienaar,free-for-dev,unknown,HTML,2025-12-24T07:20:13Z,False,success
tiangolo/fastapi,1223,tiangolo,fastapi,unknown,Python,2025-12-25T11:02:02Z,False,success
facebook/react,1212,facebook,react,unknown,JavaScript,2025-12-19T16:34:50Z,False,success
yangshun/tech-interview-handbook,1196,yangshun,tech-interview-handbook,unknown,TypeScript,2025-11-18T07:55:58Z,False,success
anfragment/zen,1190,anfragment,zen,unknown,Go,2025-12-23T21:27:10Z,False,success
GoogleCloudPlatform/generative-ai,1188,GoogleCloudPlatform,generative-ai,unknown,Jupyter Notebook,2025-12-23T19:54:00Z,False,success
microsoft/LLMLingua,1185,microsoft,LLMLingua,unknown,Python,2025-10-28T05:34:42Z,False,success
twentyhq/twenty,1182,twentyhq,twenty,unknown,TypeScript,2025-12-25T20:49:54Z,False,success
Snoopy1866/LiTiaotiao-Custom-Rules,1180,Snoopy1866,LiTiaotiao-Custom-Rules,unknown,,2024-11-08T07:51:46Z,True,success
kilimchoi/engineering-blogs,1176,kilimchoi,engineering-blogs,unknown,Ruby,2024-08-21T13:01:11Z,False,success
