repo_name,owner,repo,stars,language,pushed_at,archived,sustainability_status
twintproject/twint,twintproject,twint,16283,Python,2023-02-23T13:58:09Z,True,non_sustainable
rbgirshick/py-faster-rcnn,rbgirshick,py-faster-rcnn,8280,Python,2019-11-07T04:31:35Z,False,non_sustainable
google/trax,google,trax,8296,Python,2025-09-26T14:37:32Z,True,non_sustainable
neuralmagic/deepsparse,neuralmagic,deepsparse,3159,Python,2025-06-02T21:11:06Z,True,non_sustainable
lcdevelop/ChatBotCourse,lcdevelop,ChatBotCourse,6015,Python,2022-07-18T09:16:17Z,False,non_sustainable
bytedance/byteps,bytedance,byteps,3715,Python,2023-10-03T18:02:27Z,True,non_sustainable
jwyang/faster-rcnn.pytorch,jwyang,faster-rcnn.pytorch,7856,Python,2022-05-20T09:01:28Z,False,non_sustainable
floodsung/Deep-Learning-Papers-Reading-Roadmap,floodsung,Deep-Learning-Papers-Reading-Roadmap,39403,Python,2022-11-27T13:18:32Z,False,non_sustainable
microservices-demo/microservices-demo,microservices-demo,microservices-demo,3748,Python,2023-12-05T14:11:58Z,True,non_sustainable
microsoft/nlp-recipes,microsoft,nlp-recipes,6442,Python,2022-08-30T19:12:12Z,True,non_sustainable
iperov/DeepFaceLive,iperov,DeepFaceLive,30270,Python,2024-11-08T03:07:42Z,True,non_sustainable
hack4impact/flask-base,hack4impact,flask-base,3066,Python,2024-03-21T18:09:44Z,True,non_sustainable
NVIDIA/vid2vid,NVIDIA,vid2vid,8709,Python,2022-05-17T05:09:30Z,False,non_sustainable
lancopku/pkuseg-python,lancopku,pkuseg-python,6691,Python,2022-11-05T13:37:41Z,False,non_sustainable
karpathy/arxiv-sanity-preserver,karpathy,arxiv-sanity-preserver,5504,Python,2021-11-27T22:20:55Z,False,non_sustainable
yfeng95/PRNet,yfeng95,PRNet,5013,Python,2022-07-25T23:50:26Z,False,non_sustainable
byt3bl33d3r/CrackMapExec,byt3bl33d3r,CrackMapExec,9010,Python,2023-12-06T17:09:42Z,True,non_sustainable
minimaxir/textgenrnn,minimaxir,textgenrnn,4933,Python,2022-07-17T19:07:49Z,False,non_sustainable
INTERMT/Awesome-PyTorch-Chinese,INTERMT,Awesome-PyTorch-Chinese,4656,Python,2019-08-14T03:04:28Z,False,non_sustainable
locuslab/TCN,locuslab,TCN,4457,Python,2022-03-28T16:33:16Z,False,non_sustainable
anudeepND/whitelist,anudeepND,whitelist,4362,Python,2024-03-19T11:10:06Z,True,non_sustainable
openai/universe,openai,universe,7518,Python,2018-04-05T18:58:15Z,True,non_sustainable
monkeytypegame/monkeytype,monkeytypegame,monkeytype,322,TypeScript,2025-12-24T13:34:04Z,False,sustainable
DIYgod/RSSHub,DIYgod,RSSHub,401,TypeScript,2025-12-26T02:07:02Z,False,sustainable
pmndrs/zustand,pmndrs,zustand,859,TypeScript,2025-12-21T00:24:43Z,False,sustainable
trpc/trpc,trpc,trpc,525,TypeScript,2025-12-23T16:13:04Z,False,sustainable
xyflow/xyflow,xyflow,xyflow,324,TypeScript,2025-12-04T13:37:52Z,False,sustainable
Nutlope/aicommits,Nutlope,aicommits,236,TypeScript,2025-12-17T13:45:58Z,False,sustainable
dream-num/univer,dream-num,univer,286,TypeScript,2025-12-26T06:25:10Z,False,sustainable
withastro/astro,withastro,astro,941,TypeScript,2025-12-25T20:31:45Z,False,sustainable
clash-verge-rev/clash-verge-rev,clash-verge-rev,clash-verge-rev,2521,TypeScript,2025-12-26T06:04:40Z,False,sustainable
janhq/jan,janhq,jan,450,TypeScript,2025-12-26T05:16:28Z,False,sustainable
dataelement/bisheng,dataelement,bisheng,585,TypeScript,2025-12-25T12:48:21Z,False,sustainable
mattermost/focalboard,mattermost,focalboard,438,TypeScript,2025-10-27T10:12:44Z,False,sustainable
yangshun/tech-interview-handbook,yangshun,tech-interview-handbook,1196,TypeScript,2025-11-18T07:55:58Z,False,sustainable
upscayl/upscayl,upscayl,upscayl,1113,TypeScript,2025-12-19T21:39:17Z,False,sustainable
triggerdotdev/trigger.dev,triggerdotdev,trigger.dev,393,TypeScript,2025-12-25T08:54:20Z,False,sustainable
framer/motion,framer,motion,264,TypeScript,2025-12-12T00:51:59Z,False,sustainable
outline/outline,outline,outline,499,TypeScript,2025-12-25T21:04:59Z,False,sustainable
formkit/auto-animate,formkit,auto-animate,364,TypeScript,2025-12-16T18:22:59Z,False,sustainable
immich-app/immich,immich-app,immich,2023,TypeScript,2025-12-26T04:29:33Z,False,sustainable
openai-translator/openai-translator,openai-translator,openai-translator,637,TypeScript,2025-12-12T08:12:36Z,False,sustainable
colinhacks/zod,colinhacks,zod,641,TypeScript,2025-12-23T20:28:22Z,False,sustainable
solidjs/solid,solidjs,solid,324,TypeScript,2025-12-17T23:30:34Z,False,sustainable
wasp-lang/wasp,wasp-lang,wasp,464,TypeScript,2025-12-24T10:36:11Z,False,sustainable
conventional-changelog/commitlint,conventional-changelog,commitlint,347,TypeScript,2025-12-24T10:13:56Z,False,sustainable
clauderic/dnd-kit,clauderic,dnd-kit,371,TypeScript,2025-12-15T17:17:21Z,False,sustainable
ant-design/ant-design-web3,ant-design,ant-design-web3,447,TypeScript,2025-12-22T08:09:40Z,False,sustainable
webpro/knip,webpro,knip,322,TypeScript,2025-12-24T07:36:23Z,False,sustainable
FlowiseAI/Flowise,FlowiseAI,Flowise,836,TypeScript,2025-12-23T19:22:32Z,False,sustainable
3rd/tsdiagram,3rd,tsdiagram,254,TypeScript,2025-12-02T23:05:03Z,False,sustainable
vueuse/vueuse,vueuse,vueuse,345,TypeScript,2025-12-20T02:42:29Z,False,sustainable
TanStack/query,TanStack,query,417,TypeScript,2025-12-23T08:15:02Z,False,sustainable
omnivore-app/omnivore,omnivore-app,omnivore,573,TypeScript,2025-12-04T18:00:25Z,False,sustainable
zadam/trilium,zadam,trilium,436,TypeScript,2025-12-25T21:42:49Z,False,sustainable
openai/openai-node,openai,openai-node,287,TypeScript,2025-12-19T03:28:40Z,False,sustainable
f/awesome-chatgpt-prompts,f,awesome-chatgpt-prompts,2253,TypeScript,2025-12-26T03:34:32Z,False,sustainable
iptv-org/iptv,iptv-org,iptv,1428,TypeScript,2025-12-26T00:13:20Z,False,sustainable
element-plus/element-plus,element-plus,element-plus,255,TypeScript,2025-12-25T13:59:54Z,False,sustainable
Bin-Huang/chatbox,Bin-Huang,chatbox,564,TypeScript,2025-11-28T14:39:47Z,False,sustainable
Platane/snk,Platane,snk,306,TypeScript,2025-12-21T09:31:40Z,False,sustainable
tldraw/tldraw,tldraw,tldraw,1651,TypeScript,2025-12-26T02:33:52Z,False,sustainable
RealKai42/qwerty-learner,RealKai42,qwerty-learner,401,TypeScript,2025-12-12T05:15:18Z,False,sustainable
angular/angular,angular,angular,515,TypeScript,2025-12-18T21:06:37Z,False,sustainable
d3george/slash-admin,d3george,slash-admin,647,TypeScript,2025-08-12T14:14:33Z,False,sustainable
pheralb/svgl,pheralb,svgl,701,TypeScript,2025-12-23T12:50:51Z,False,sustainable
