repo_name,owner,repo,stars,language,pushed_at,archived,sustainability_status,api_status,code_review_score,has_code_of_conduct,has_contributing,has_issue_template,has_license,has_pull_request_template,has_readme,health_percentage,maintained_score,overall_score,median_issue_response_days,median_pr_review_days,total_commits,unique_contributors,forks_count,network_count,stars_count,status,watchers_count,bus_factor,contributor_diversity_gini,num_contributors
gitpitch/gitpitch,gitpitch,gitpitch,5484,Python,2021-03-01T07:55:23Z,False,non_sustainable,success,0.0,False,True,True,False,False,True,57,0.0,2.6,109.66666666666669,,,,453,453,5484,success,83,1.0,0.8695,11
vibora-io/vibora,vibora-io,vibora,5621,Python,2020-12-23T01:00:55Z,True,non_sustainable,success,,True,True,False,True,True,True,75,,,,,,,302,302,5621,success,246,17.0,0.2266,23
youfou/wxpy,youfou,wxpy,14288,Python,2019-07-14T17:59:47Z,True,non_sustainable,success,0.0,False,False,False,True,False,True,42,0.0,3.0,4.010740740740741,,,,2388,2388,14288,success,549,1.0,0.6304,3
ufoym/deepo,ufoym,deepo,6283,Python,2023-01-29T05:49:54Z,True,non_sustainable,success,0.0,False,False,False,True,False,True,42,0.0,3.4,180.61013888888888,,,,747,747,6283,success,166,1.0,0.8307,9
Chalarangelo/30-seconds-of-python,Chalarangelo,30-seconds-of-python,8845,Python,2023-05-07T17:09:42Z,True,non_sustainable,success,,True,True,False,True,False,True,71,,,,,,,1252,1252,8845,success,247,2.0,0.9111,65
dabeaz/curio,dabeaz,curio,4130,Python,2025-12-21T15:48:55Z,True,non_sustainable,success,3.0,False,True,False,True,False,True,57,0.0,3.4,0.0416666666666666,,4.0,1.0,249,249,4130,success,139,1.0,0.9031,49
hardikvasa/google-images-download,hardikvasa,google-images-download,8667,Python,2024-02-19T17:21:18Z,True,non_sustainable,success,5.0,False,False,False,True,False,True,42,0.0,3.7,0.25,,,,2105,2105,8667,success,195,15.0,0.5845,31
yunjey/stargan,yunjey,stargan,5285,Python,2021-01-23T15:09:58Z,False,non_sustainable,success,,False,False,False,True,False,True,42,,,8.546631944444444,,,,973,973,5285,success,126,1.0,1.0,1
facebookresearch/demucs,facebookresearch,demucs,9611,Python,2024-04-24T20:25:19Z,True,non_sustainable,success,5.0,True,True,False,True,False,True,87,0.0,3.7,0.1666666666666666,2.708333333333333,,,1373,1373,9612,success,159,1.0,0.8628,28
idealo/image-super-resolution,idealo,image-super-resolution,4804,Python,2024-12-18T16:08:09Z,True,non_sustainable,success,7.0,False,True,False,True,False,True,50,0.0,4.1,32.791666666666664,,,,780,780,4804,success,100,2.0,0.7571,8
shobrook/rebound,shobrook,rebound,4135,Python,2022-02-16T15:15:53Z,False,non_sustainable,success,4.0,False,False,False,False,False,True,28,0.0,2.8,58.91035879629629,,,,383,383,4135,success,75,1.0,0.8298,13
eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee/eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,10533,Python,2019-07-02T11:23:43Z,True,non_sustainable,success,9.0,True,False,False,False,False,True,37,0.0,3.5,0.0105092592592592,,,,692,692,10533,success,124,54.0,0.6014,128
alexjc/neural-enhance,alexjc,neural-enhance,11885,Python,2020-12-29T08:43:04Z,True,non_sustainable,success,,False,False,False,True,False,True,42,,,,,,,1372,1372,11885,success,390,1.0,0.7975,8
humphd/have-fun-with-machine-learning,humphd,have-fun-with-machine-learning,5119,Python,2021-12-19T18:38:53Z,False,non_sustainable,success,,False,False,False,True,False,True,42,,,0.2376157407407407,,,,538,538,5119,success,188,2.0,0.6656,7
facebookresearch/ParlAI,facebookresearch,ParlAI,10624,Python,2023-11-03T14:30:00Z,True,non_sustainable,success,10.0,True,True,False,True,True,True,87,0.0,4.4,3.1459027777777777,,,,2086,2086,10624,success,277,11.0,0.8785,191
