repo_name,stars,owner,repo,sustainability_status
home-assistant/core,1089,home-assistant,core,unknown
WuKongOpenSource/Wukong_nocode,1088,WuKongOpenSource,Wukong_nocode,unknown
supabase/supabase,1088,supabase,supabase,unknown
mckaywrigley/chatbot-ui,1085,mckaywrigley,chatbot-ui,unknown
CopilotKit/CopilotKit,1083,CopilotKit,CopilotKit,unknown
suno-ai/bark,1079,suno-ai,bark,unknown
TheAlgorithms/Python,1079,TheAlgorithms,Python,unknown
Hillobar/Rope,1074,Hillobar,Rope,unknown
sunner/ChatALL,1072,sunner,ChatALL,unknown
saadeghi/daisyui,1072,saadeghi,daisyui,unknown
louislam/dockge,1071,louislam,dockge,unknown
neovim/neovim,1070,neovim,neovim,unknown
rust-lang/rust,1069,rust-lang,rust,unknown
zzzgydi/clash-verge,1065,zzzgydi,clash-verge,unknown
openbao/openbao,1064,openbao,openbao,unknown
openai/openai-python,1059,openai,openai-python,unknown
alist-org/alist,1059,alist-org,alist,unknown
openai/openai-cookbook,1059,openai,openai-cookbook,unknown
haotian-liu/LLaVA,1059,haotian-liu,LLaVA,unknown
graphdeco-inria/gaussian-splatting,1058,graphdeco-inria,gaussian-splatting,unknown
tuteng/Best-websites-a-programmer-should-visit-zh,1058,tuteng,Best-websites-a-programmer-should-visit-zh,unknown
SimplifyJobs/Summer2024-Internships,1055,SimplifyJobs,Summer2024-Internships,unknown
fighting41love/funNLP,1054,fighting41love,funNLP,unknown
FuelLabs/fuels-rs,1052,FuelLabs,fuels-rs,unknown
conductor-oss/conductor,1046,conductor-oss,conductor,unknown
THU-LYJ-Lab/T3Bench,1043,THU-LYJ-Lab,T3Bench,unknown
facebookresearch/llama-recipes,1037,facebookresearch,llama-recipes,unknown
gradio-app/gradio,1033,gradio-app,gradio,unknown
base-org/chains,1033,base-org,chains,unknown
SecureAI-Tools/SecureAI-Tools,1032,SecureAI-Tools,SecureAI-Tools,unknown
ratatui-org/ratatui,1027,ratatui-org,ratatui,unknown
MrNeRF/awesome-3D-gaussian-splatting,1021,MrNeRF,awesome-3D-gaussian-splatting,unknown
pytorch/pytorch,1020,pytorch,pytorch,unknown
fishaudio/Bert-VITS2,1015,fishaudio,Bert-VITS2,unknown
Ucas-HaoranWei/Vary,1012,Ucas-HaoranWei,Vary,unknown
illacloud/illa-builder,1011,illacloud,illa-builder,unknown
KillianLucas/open-interpreter,1008,KillianLucas,open-interpreter,unknown
n8n-io/n8n,1005,n8n-io,n8n,unknown
mudler/LocalAI,1003,mudler,LocalAI,unknown
tauri-apps/tauri,1001,tauri-apps,tauri,unknown
jqnatividad/qsv,1000,jqnatividad,qsv,unknown
tailwindlabs/tailwindcss,998,tailwindlabs,tailwindcss,unknown
FuelLabs/fuels-ts,996,FuelLabs,fuels-ts,unknown
fatedier/frp,994,fatedier,frp,unknown
ohmyzsh/ohmyzsh,993,ohmyzsh,ohmyzsh,unknown
nocodb/nocodb,993,nocodb,nocodb,unknown
lm-sys/FastChat,978,lm-sys,FastChat,unknown
dunglas/frankenphp,974,dunglas,frankenphp,unknown
typst/typst,973,typst,typst,unknown
activepieces/activepieces,962,activepieces,activepieces,unknown
kadirnar/whisper-plus,961,kadirnar,whisper-plus,unknown
macrozheng/mall,961,macrozheng,mall,unknown
The-Run-Philosophy-Organization/run,952,The-Run-Philosophy-Organization,run,unknown
Ftindy/IPTV-URL,951,Ftindy,IPTV-URL,unknown
rust-lang/rustlings,945,rust-lang,rustlings,unknown
elfvingralf/macOSpilot-ai-assistant,944,elfvingralf,macOSpilot-ai-assistant,unknown
base-org/node,943,base-org,node,unknown
withastro/astro,941,withastro,astro,unknown
