has_code_of_conduct,has_contributing,has_license,has_readme,has_issue_template,has_pull_request_template,health_percentage,api_status,repo_name,owner,repo,overall_score,maintained_score,code_review_score
False,False,True,True,True,False,37,success,twintproject/twint,twintproject,twint,3.8,0.0,8.0
False,False,True,True,False,False,42,success,rbgirshick/py-faster-rcnn,rbgirshick,py-faster-rcnn,,,
True,True,True,True,True,False,75,success,google/trax,google,trax,4.6,0.0,4.0
False,False,True,True,False,False,50,success,neuralmagic/deepsparse,neuralmagic,deepsparse,3.6,0.0,7.0
False,False,True,True,False,False,42,success,lcdevelop/ChatBotCourse,lcdevelop,ChatBotCourse,,,
False,True,True,True,False,False,62,success,bytedance/byteps,bytedance,byteps,3.5,0.0,3.0
False,False,True,True,False,False,42,success,jwyang/faster-rcnn.pytorch,jwyang,faster-rcnn.pytorch,3.8,0.0,7.0
False,False,False,True,False,False,28,success,floodsung/Deep-Learning-Papers-Reading-Roadmap,floodsung,Deep-Learning-Papers-Reading-Roadmap,3.4,0.0,8.0
False,True,True,True,True,True,62,success,microservices-demo/microservices-demo,microservices-demo,microservices-demo,4.5,0.0,8.0
True,True,True,True,True,True,87,success,microsoft/nlp-recipes,microsoft,nlp-recipes,5.2,0.0,8.0
False,False,True,True,False,False,42,success,iperov/DeepFaceLive,iperov,DeepFaceLive,,,
True,False,True,True,False,True,75,success,hack4impact/flask-base,hack4impact,flask-base,3.1,0.0,6.0
False,False,True,True,False,False,37,success,NVIDIA/vid2vid,NVIDIA,vid2vid,,,
False,False,True,True,False,False,37,success,lancopku/pkuseg-python,lancopku,pkuseg-python,2.7,0.0,0.0
False,False,True,True,False,False,42,success,karpathy/arxiv-sanity-preserver,karpathy,arxiv-sanity-preserver,,,
False,False,True,True,False,False,42,success,yfeng95/PRNet,yfeng95,PRNet,,,
False,False,True,True,False,False,57,success,byt3bl33d3r/CrackMapExec,byt3bl33d3r,CrackMapExec,2.5,0.0,0.0
False,False,True,True,False,False,42,success,minimaxir/textgenrnn,minimaxir,textgenrnn,2.4,0.0,8.0
False,False,True,True,False,False,42,success,INTERMT/Awesome-PyTorch-Chinese,INTERMT,Awesome-PyTorch-Chinese,,,
False,False,True,True,False,False,37,success,locuslab/TCN,locuslab,TCN,,,
False,False,True,True,False,False,42,success,anudeepND/whitelist,anudeepND,whitelist,3.2,0.0,4.0
False,False,True,True,True,False,37,success,openai/universe,openai,universe,2.6,0.0,0.0
True,True,True,True,False,True,87,success,monkeytypegame/monkeytype,monkeytypegame,monkeytype,,,
True,True,True,True,False,True,100,success,DIYgod/RSSHub,DIYgod,RSSHub,6.2,10.0,8.0
False,True,True,True,False,True,62,success,pmndrs/zustand,pmndrs,zustand,5.5,10.0,3.0
False,True,True,True,False,True,75,success,trpc/trpc,trpc,trpc,5.9,10.0,7.0
True,True,True,True,False,False,75,success,xyflow/xyflow,xyflow,xyflow,,,
False,True,True,True,False,False,57,success,Nutlope/aicommits,Nutlope,aicommits,,,
True,True,True,True,False,True,100,success,dream-num/univer,dream-num,univer,,,
True,True,True,True,False,True,100,success,withastro/astro,withastro,astro,,,
False,True,True,True,False,False,50,success,clash-verge-rev/clash-verge-rev,clash-verge-rev,clash-verge-rev,,,
False,True,True,True,False,True,62,success,janhq/jan,janhq,jan,,,
True,False,True,True,False,False,62,success,dataelement/bisheng,dataelement,bisheng,,,
False,True,True,True,False,True,75,success,mattermost/focalboard,mattermost,focalboard,5.7,0.0,10.0
True,True,True,True,False,False,71,success,yangshun/tech-interview-handbook,yangshun,tech-interview-handbook,4.4,2.0,8.0
False,False,True,True,False,False,37,success,upscayl/upscayl,upscayl,upscayl,,,
True,True,True,True,False,True,75,success,triggerdotdev/trigger.dev,triggerdotdev,trigger.dev,,,
False,True,True,True,False,False,62,success,framer/motion,framer,motion,3.2,10.0,0.0
True,False,True,True,False,False,75,success,outline/outline,outline,outline,5.5,10.0,0.0
False,False,True,True,False,False,37,success,formkit/auto-animate,formkit,auto-animate,,,
True,False,True,True,False,True,75,success,immich-app/immich,immich-app,immich,,,
False,False,True,True,False,False,37,success,openai-translator/openai-translator,openai-translator,openai-translator,,,
True,True,True,True,False,False,71,success,colinhacks/zod,colinhacks,zod,4.2,10.0,4.0
True,True,True,True,False,True,87,success,solidjs/solid,solidjs,solid,4.5,10.0,5.0
True,True,True,True,False,True,100,success,wasp-lang/wasp,wasp-lang,wasp,4.8,10.0,5.0
True,True,True,True,False,True,75,success,conventional-changelog/commitlint,conventional-changelog,commitlint,5.4,10.0,5.0
False,False,True,True,False,False,42,success,clauderic/dnd-kit,clauderic,dnd-kit,3.2,3.0,5.0
False,True,True,True,False,True,62,success,ant-design/ant-design-web3,ant-design,ant-design-web3,,,
True,True,True,True,False,True,75,success,webpro/knip,webpro,knip,,,
True,True,True,True,False,False,75,success,FlowiseAI/Flowise,FlowiseAI,Flowise,,,
False,False,True,True,False,False,42,success,3rd/tsdiagram,3rd,tsdiagram,,,
True,True,True,True,False,True,75,success,vueuse/vueuse,vueuse,vueuse,4.7,10.0,9.0
False,True,True,True,False,True,62,success,TanStack/query,TanStack,query,,,
False,True,True,True,False,False,75,success,omnivore-app/omnivore,omnivore-app,omnivore,,,
True,False,True,True,False,False,62,success,zadam/trilium,zadam,trilium,5.1,10.0,2.0
False,True,True,True,False,True,75,success,openai/openai-node,openai,openai-node,,,
False,True,True,True,False,True,71,success,f/awesome-chatgpt-prompts,f,awesome-chatgpt-prompts,,,
True,True,True,True,False,False,75,success,iptv-org/iptv,iptv-org,iptv,5.0,10.0,1.0
True,True,True,True,False,True,75,success,element-plus/element-plus,element-plus,element-plus,3.4,10.0,10.0
False,False,True,True,False,True,50,success,Bin-Huang/chatbox,Bin-Huang,chatbox,,,
False,False,False,True,False,False,28,success,Platane/snk,Platane,snk,3.9,10.0,0.0
True,True,True,True,False,True,87,success,tldraw/tldraw,tldraw,tldraw,,,
False,True,True,True,False,False,57,success,RealKai42/qwerty-learner,RealKai42,qwerty-learner,,,
True,True,True,True,True,True,87,success,angular/angular,angular,angular,6.6,10.0,10.0
False,False,True,True,False,False,42,success,d3george/slash-admin,d3george,slash-admin,,,
False,False,True,True,False,True,57,success,pheralb/svgl,pheralb,svgl,,,
True,True,True,True,False,True,100,success,calcom/cal.com,calcom,cal.com,,,
True,True,True,True,False,False,75,success,streetwriters/notesnook,streetwriters,notesnook,,,
False,True,True,True,False,True,62,success,wg-easy/wg-easy,wg-easy,wg-easy,,,
False,False,True,True,False,True,62,success,udecode/plate,udecode,plate,3.8,10.0,0.0
False,True,True,True,False,True,71,success,huntabyte/shadcn-svelte,huntabyte,shadcn-svelte,,,
False,True,True,True,False,True,62,success,informalsystems/quint,informalsystems,quint,,,
False,False,True,True,False,False,42,success,stuffmatic/fSpy,stuffmatic,fSpy,,,
False,True,True,True,False,True,75,success,bitwarden/desktop,bitwarden,desktop,4.7,0.0,10.0
False,False,True,True,False,False,42,success,jiayihu/pretty-algorithms,jiayihu,pretty-algorithms,,,
True,True,True,True,False,True,75,success,kactus-io/kactus,kactus-io,kactus,3.1,0.0,0.0
False,True,True,True,True,False,57,success,sebholstein/angular-google-maps,sebholstein,angular-google-maps,,,
False,True,True,True,False,True,62,success,mobxjs/mobx-react,mobxjs,mobx-react,2.5,0.0,0.0
False,False,True,True,False,False,42,success,smeijer/unimported,smeijer,unimported,3.8,0.0,6.0
False,True,True,True,False,False,57,success,will-stone/browserosaurus,will-stone,browserosaurus,2.9,0.0,2.0
False,False,True,True,False,False,42,success,SteveSandersonMS/WebWindow,SteveSandersonMS,WebWindow,,,
False,False,True,True,False,False,42,success,dabbott/react-native-express,dabbott,react-native-express,2.1,0.0,3.0
True,True,True,True,False,True,87,success,vmware-archive/clarity,vmware-archive,clarity,,,
True,True,True,True,False,True,87,success,kubernetes-retired/kui,kubernetes-retired,kui,,,
True,True,True,True,False,False,87,success,rematch/rematch,rematch,rematch,2.8,0.0,3.0
