repo_name,stars
nocodb/nocodb,993
lm-sys/FastChat,978
dunglas/frankenphp,974
typst/typst,973
activepieces/activepieces,962
kadirnar/whisper-plus,961
macrozheng/mall,961
The-Run-Philosophy-Organization/run,952
Ftindy/IPTV-URL,951
rust-lang/rustlings,945
elfvingralf/macOSpilot-ai-assistant,944
base-org/node,943
withastro/astro,941
1Panel-dev/1Panel,941
Z-Siqi/Clash-for-Windows_Chinese,938
OpenAccess-AI-Collective/axolotl,937
llmware-ai/llmware,933
swisskyrepo/PayloadsAllTheThings,931
Hannibal046/Awesome-LLM,928
RVC-Project/Retrieval-based-Voice-Conversion-WebUI,926
stas00/ml-engineering,925
chenzomi12/DeepLearningSystem,919
guoqincode/AnimateAnyone-unofficial,919
2dust/v2rayNG,918
ventoy/Ventoy,917
justjavac/free-programming-books-zh_CN,917
yformer/EfficientSAM,913
prs-eth/Marigold,913
ZHO-ZHO-ZHO/comfyui-portrait-master-zh-cn,912
astral-sh/ruff,909
Innei/Shiro,908
github/gitignore,905
Asabeneh/30-Days-Of-Python,904
topjohnwu/Magisk,898
keiko233/clash-nyanpasu,893
laravel/pulse,888
oven-sh/bun,888
fffaraz/awesome-cpp,887
sudheerj/javascript-interview-questions,884
leiurayer/downkyi,882
hoppscotch/hoppscotch,882
valinet/ExplorerPatcher,877
basecamp/solid_queue,874
SeaQL/FireDBG.for.Rust,871
flutter/flutter,865
NopeCHALLC/nopecha-extension,861
pmndrs/zustand,859
termux/termux-app,857
ggerganov/whisper.cpp,857
githubnext/monaspace,853
OpenBMB/ChatDev,851
NationalSecurityAgency/ghidra,850
Anjok07/ultimatevocalremovergui,848
WuKongOpenSource/WukongCRM-11.0-JAVA,847
dair-ai/Prompt-Engineering-Guide,840
google/comprehensive-rust,837
FlowiseAI/Flowise,836
gedoor/legado,834
maypok86/otter,832
successfulstudy/promptoftheyear,831
ChrisTitusTech/winutil,830
webstudio-is/webstudio,830
jaywcjlove/linux-command,829
pastelsky/tsdocs,827
EmergeTools/Pow,825
getify/You-Dont-Know-JS,824
luciddreamer-cvlab/LucidDreamer,823
pingcap/awesome-database-learning,822
lxfater/inpaint-web,822
hyprwm/Hyprland,821
Snailclimb/JavaGuide,816
chaitin/SafeLine,815
chinesehuazhou/python-whydo,812
DataTalksClub/data-engineering-zoomcamp,811
kubernetes/kubernetes,810
THUDM/CogVLM,809
pydantic/FastUI,809
maotoumao/MusicFree,808
tensorflow/tensorflow,806
CompVis/stable-diffusion,806
beeper/imessage,806
facebookresearch/segment-anything,805
MlgmXyysd/Xiaomi-BootLoader-Questionnaire,801
THUDM/ChatGLM-6B,799
gregberge/twc,797
elie222/inbox-zero,795
jason5ng32/MyIP,794
MichaelYuhe/ai-group-tabs,792
WuKongOpenSource/Wukong_Accounting,792
krishnaik06/The-Grand-Complete-Data-Science-Materials,791
microsoft/playwright,789
anuraghazra/github-readme-stats,786
Chalarangelo/30-seconds-of-code,786
langchain-ai/opengpts,784
rust-unofficial/awesome-rust,783
google/style-aligned,779
ocornut/imgui,777
flowdriveai/flowpilot,771
penpot/penpot,771
mouredev/Hello-Python,770
nvm-sh/nvm,768
lyswhut/lx-music-desktop,766
Az0x7/vulnerability-Checklist,764
orbitinghail/sqlsync,762
openchatai/OpenCopilot,760
run-llama/rags,760
golang/go,759
linyiLYi/voice-assistant,758
binhnguyennus/awesome-scalability,756
tayllan/awesome-algorithms,756
MatsuriDayo/nekoray,754
BerriAI/litellm,751
imDazui/Tvlist-awesome-m3u-m3u8,750
Flipper-XFW/Xtreme-Firmware,746
voxel51/fiftyone,745
ultralytics/yolov5,742
juanfont/headscale,741
guoyww/AnimateDiff,740
svc-develop-team/so-vits-svc,737
shidahuilang/shuyuan,736
YueChan/Live,736
syncthing/syncthing,729
mistralai/megablocks-public,726
nuxt/nuxt,726
sveltejs/svelte,726
honojs/hono,725
mrdoob/three.js,724
IceWhaleTech/CasaOS,721
remotion-dev/github-unwrapped-2023,720
fanmingming/live,719
vitejs/vite,718
OpenBMB/XAgent,718
jesseduffield/lazygit,716
lyogavin/Anima,716
tinygrad/tinygrad,715
huggingface/candle,712
danielmiessler/SecLists,712
nikolaydubina/go-recipes,712
pola-rs/polars,712
Developer-Y/cs-video-courses,711
mermaid-js/mermaid,711
iamadamdev/bypass-paywalls-chrome,711
microsoft/semantic-kernel,710
chiteroman/PlayIntegrityFix,710
DovAmir/awesome-design-patterns,708
sweepai/sweep,706
nvim-lua/kickstart.nvim,701
pheralb/svgl,701
obsproject/obs-studio,700
filamentphp/filament,698
youngyangyang04/leetcode-master,691
junegunn/fzf,691
krayin/laravel-crm,689
blossom-editor/blossom,689
THUDM/CodeGeeX2,689
